"year","AGE","Contrast","conf.low","conf.high","p.value"
"slope","1-2",-0.109547716848306,-0.281368493135791,0.0622730594391798,0.21139636272561
"slope","1-3",-0.221440915633197,-0.387372961951868,-0.0555088693145259,0.00891511918381656
"slope","1-4",-0.350766250114726,-0.518232686087343,-0.183299814142109,4.07892804679564e-05
"slope","1-5",-0.535852400047315,-0.706027577848565,-0.365677222246065,7.15540964380751e-10
"slope","1-6",-0.661628044690936,-0.836305705604827,-0.486950383777045,1.28574576977108e-13
"slope","1-7",-0.620497614611715,-0.807139568296838,-0.433855660926592,7.75459370024008e-11
"slope","1-8",-0.505439764668024,-0.719105937020412,-0.291773592315636,3.60531509661277e-06
"slope","2-3",-0.111893198784891,-0.245631353855216,0.0218449562854339,0.101025636960687
"slope","2-4",-0.24121853326642,-0.376844499565753,-0.105592566967088,0.00049273562672897
"slope","2-5",-0.42630468319901,-0.565251346372383,-0.287358020025636,1.91162102884733e-09
"slope","2-6",-0.55208032784263,-0.69653589934227,-0.407624756342991,7.7798913230817e-14
"slope","2-7",-0.510949897763409,-0.669697098468898,-0.352202697057921,2.99988668036607e-10
"slope","2-8",-0.395892047819718,-0.58567448868055,-0.206109606958886,4.38296515486098e-05
"slope","3-4",-0.129325334481529,-0.257439652417986,-0.00121101654507305,0.0478740599650746
"slope","3-5",-0.314411484414119,-0.446047716931755,-0.182775251896482,2.90039063809132e-06
"slope","3-6",-0.440187129057739,-0.577619091467734,-0.302755166647744,3.65300164728687e-10
"slope","3-7",-0.399056698978518,-0.551435231122224,-0.246678166834812,2.92925486861723e-07
"slope","3-8",-0.283998849034827,-0.468501155993796,-0.0994965420758576,0.00255932479317807
"slope","4-5",-0.185086149932589,-0.318644579817751,-0.0515277200474278,0.00661314370553956
"slope","4-6",-0.31086179457621,-0.450144066967691,-0.171579522184729,1.23359242734354e-05
"slope","4-7",-0.269731364496989,-0.423788186991977,-0.115674542002,0.000602567330463441
"slope","4-8",-0.154673514553298,-0.340557778218964,0.0312107491123691,0.102898778691861
"slope","5-6",-0.125775644643621,-0.268251601891509,0.0167003126042675,0.0835785827757656
"slope","5-7",-0.0846452145643995,-0.241579367499454,0.0722889383706547,0.290391118847846
"slope","5-8",0.0304126353792916,-0.15784781368328,0.218673084441863,0.751491039814146
"slope","6-7",0.0411304300792212,-0.120668282680088,0.202929142838531,0.618262989537702
"slope","6-8",0.156188280022912,-0.0361455947747324,0.348522154820557,0.111449043824018
"slope","7-8",0.115057849943691,-0.0881982442877511,0.318313944175133,0.267168531553809
