,Lat (DD),Long (DD),agriculture,area (ha),cpue,DD mean,dd year,depth (m),doy,forests,lmb,log area,log county,log depth,mean secchi (m),perch,pike,surf temp year,total pop,urban,walleye,wetlands
Lat (DD),1.00,-0.55,-0.59,0.05,-0.34,-0.88,-0.85,0.05,0.04,0.59,-0.23,-0.02,-0.67,0.08,0.19,-0.13,-0.10,-0.69,-0.37,-0.18,0.16,0.23
Long (DD),-0.55,1.00,0.13,-0.04,0.08,0.50,0.47,-0.08,-0.03,-0.29,0.21,-0.04,0.42,-0.14,-0.09,0.05,0.17,0.44,0.39,0.27,-0.08,0.00
agriculture,-0.59,0.13,1.00,-0.01,0.16,0.50,0.50,0.06,0.07,-0.71,0.05,0.09,0.29,0.08,-0.15,0.06,-0.05,0.38,0.00,-0.23,-0.11,-0.35
area (ha),0.05,-0.04,-0.01,1.00,-0.33,0.01,-0.02,0.14,-0.05,-0.02,-0.05,0.77,-0.09,0.08,-0.03,0.06,0.14,-0.16,-0.07,0.04,0.24,0.00
cpue,-0.34,0.08,0.16,-0.33,1.00,0.30,0.33,-0.11,-0.05,-0.22,0.19,-0.25,0.24,-0.06,0.05,0.06,-0.01,0.32,0.16,0.18,-0.19,-0.09
DD mean,-0.88,0.50,0.50,0.01,0.30,1.00,0.90,0.03,-0.09,-0.57,0.25,0.07,0.66,0.01,-0.15,0.11,0.06,0.70,0.39,0.25,-0.14,-0.18
dd year,-0.85,0.47,0.50,-0.02,0.33,0.90,1.00,0.02,-0.08,-0.56,0.22,0.05,0.63,0.00,-0.16,0.10,0.03,0.79,0.38,0.23,-0.16,-0.17
depth (m),0.05,-0.08,0.06,0.14,-0.11,0.03,0.02,1.00,0.04,-0.03,-0.06,0.11,-0.06,0.89,0.47,-0.04,0.04,-0.45,-0.07,0.06,0.03,-0.13
doy,0.04,-0.03,0.07,-0.05,-0.05,-0.09,-0.08,0.04,1.00,0.04,-0.19,-0.03,-0.09,0.05,0.04,-0.12,-0.09,-0.06,-0.06,-0.16,-0.01,-0.04
forests,0.59,-0.29,-0.71,-0.02,-0.22,-0.57,-0.56,-0.03,0.04,1.00,-0.10,-0.15,-0.50,-0.01,0.14,-0.12,-0.14,-0.41,-0.29,-0.32,0.02,-0.14
lmb,-0.23,0.21,0.05,-0.05,0.19,0.25,0.22,-0.06,-0.19,-0.10,1.00,0.04,0.10,-0.04,0.00,0.11,0.05,0.18,0.07,0.11,-0.02,-0.04
log area,-0.02,-0.04,0.09,0.77,-0.25,0.07,0.05,0.11,-0.03,-0.15,0.04,1.00,0.01,0.08,-0.03,0.16,0.24,-0.17,0.00,0.09,0.38,0.00
log county,-0.67,0.42,0.29,-0.09,0.24,0.66,0.63,-0.06,-0.09,-0.50,0.10,0.01,1.00,-0.11,-0.09,0.11,0.05,0.50,0.81,0.40,-0.09,-0.08
log depth,0.08,-0.14,0.08,0.08,-0.06,0.01,0.00,0.89,0.05,-0.01,-0.04,0.08,-0.11,1.00,0.46,-0.05,0.06,-0.42,-0.13,0.02,0.04,-0.14
mean secchi (m),0.19,-0.09,-0.15,-0.03,0.05,-0.15,-0.16,0.47,0.04,0.14,0.00,-0.03,-0.09,0.46,1.00,0.10,0.00,-0.30,-0.03,0.12,0.02,-0.19
perch,-0.13,0.05,0.06,0.06,0.06,0.11,0.10,-0.04,-0.12,-0.12,0.11,0.16,0.11,-0.05,0.10,1.00,0.09,0.06,0.06,0.10,0.11,-0.03
pike,-0.10,0.17,-0.05,0.14,-0.01,0.06,0.03,0.04,-0.09,-0.14,0.05,0.24,0.05,0.06,0.00,0.09,1.00,-0.03,0.05,0.11,0.20,0.16
surf temp year,-0.69,0.44,0.38,-0.16,0.32,0.70,0.79,-0.45,-0.06,-0.41,0.18,-0.17,0.50,-0.42,-0.30,0.06,-0.03,1.00,0.30,0.11,-0.28,-0.09
total pop,-0.37,0.39,0.00,-0.07,0.16,0.39,0.38,-0.07,-0.06,-0.29,0.07,0.00,0.81,-0.13,-0.03,0.06,0.05,0.30,1.00,0.52,-0.04,-0.04
urban,-0.18,0.27,-0.23,0.04,0.18,0.25,0.23,0.06,-0.16,-0.32,0.11,0.09,0.40,0.02,0.12,0.10,0.11,0.11,0.52,1.00,0.04,-0.07
walleye,0.16,-0.08,-0.11,0.24,-0.19,-0.14,-0.16,0.03,-0.01,0.02,-0.02,0.38,-0.09,0.04,0.02,0.11,0.20,-0.28,-0.04,0.04,1.00,0.07
wetlands,0.23,0.00,-0.35,0.00,-0.09,-0.18,-0.17,-0.13,-0.04,-0.14,-0.04,0.00,-0.08,-0.14,-0.19,-0.03,0.16,-0.09,-0.04,-0.07,0.07,1.00
