DD,Age,Initial Weight,Initial Length,End Weight,End Length,Total Consumption,Proportional Density
3000,1,1.5,45.7,15.6,96.5,76.5,0.49
3000,2,15.6,96.5,37.2,127.0,167.0,0.42
3000,3,37.2,127.0,62.9,149.9,270.1,0.46
3000,4,62.9,149.9,94.2,170.2,377.1,0.48
3000,5,94.2,170.2,123.7,185.4,462.3,0.50
3000,6,123.7,185.4,152.6,198.1,543.1,0.52
3000,7,152.6,198.1,178.9,208.3,609.9,0.54
3000,8,178.9,208.3,208.0,218.4,691.7,0.55
3000,9,208.0,218.4,231.9,226.1,743.8,0.57
3500,1,1.5,45.7,15.6,96.5,80.3,0.61
3500,2,15.6,96.5,37.2,127.0,179.8,0.55
3500,3,37.2,127.0,62.9,149.9,294.5,0.59
3500,4,62.9,149.9,94.2,170.2,412.3,0.62
3500,5,94.2,170.2,123.7,185.4,508.4,0.64
3500,6,123.7,185.4,152.6,198.1,598.9,0.66
3500,7,152.6,198.1,178.9,208.3,674.6,0.69
3500,8,178.9,208.3,208.0,218.4,765.0,0.70
3500,9,208.0,218.4,231.9,226.1,825.2,0.72
4000,1,1.5,45.7,15.6,96.5,84.8,0.73
4000,2,15.6,96.5,37.2,127.0,193.6,0.69
4000,3,37.2,127.0,62.9,149.9,320.2,0.73
4000,4,62.9,149.9,94.2,170.2,449.3,0.75
4000,5,94.2,170.2,123.7,185.4,556.7,0.78
4000,6,123.7,185.4,152.6,198.1,657.5,0.80
4000,7,152.6,198.1,178.9,208.3,742.5,0.82
4000,8,178.9,208.3,208.0,218.4,841.8,0.83
4000,9,208.0,218.4,231.9,226.1,910.3,0.84
4500,1,1.5,45.7,15.6,96.5,89.6,0.86
4500,2,15.6,96.5,37.2,127.0,208.0,0.84
4500,3,37.2,127.0,62.9,149.9,346.8,0.87
4500,4,62.9,149.9,94.2,170.2,487.6,0.88
4500,5,94.2,170.2,123.7,185.4,606.7,0.90
4500,6,123.7,185.4,152.6,198.1,718.0,0.91
4500,7,152.6,198.1,178.9,208.3,812.5,0.92
4500,8,178.9,208.3,208.0,218.4,921.1,0.93
4500,9,208.0,218.4,231.9,226.1,998.3,0.94
5000,1,1.5,45.7,15.6,96.5,94.7,1.00
5000,2,15.6,96.5,37.2,127.0,222.9,1.00
5000,3,37.2,127.0,62.9,149.9,373.9,1.00
5000,4,62.9,149.9,94.2,170.2,526.8,1.00
5000,5,94.2,170.2,123.7,185.4,657.8,1.00
5000,6,123.7,185.4,152.6,198.1,779.9,1.00
5000,7,152.6,198.1,178.9,208.3,884.2,1.00
5000,8,178.9,208.3,208.0,218.4,1002.3,1.00
5000,9,208.0,218.4,231.9,226.1,1088.3,1.00
5500,1,1.5,45.7,15.6,96.5,99.9,1.14
5500,2,15.6,96.5,37.2,127.0,238.2,1.16
5500,3,37.2,127.0,62.9,149.9,399.6,1.14
5500,4,62.9,149.9,94.2,170.2,563.9,1.12
5500,5,94.2,170.2,123.7,185.4,706.1,1.10
5500,6,123.7,185.4,152.6,198.1,838.4,1.09
5500,7,152.6,198.1,178.9,208.3,952.0,1.08
5500,8,178.9,208.3,208.0,218.4,1079.0,1.07
5500,9,208.0,218.4,231.9,226.1,1173.3,1.06
6000,1,1.5,45.7,15.6,96.5,105.3,1.28
6000,2,15.6,96.5,37.2,127.0,253.6,1.33
6000,3,37.2,127.0,62.9,149.9,423.7,1.28
6000,4,62.9,149.9,94.2,170.2,598.6,1.25
6000,5,94.2,170.2,123.7,185.4,751.4,1.22
6000,6,123.7,185.4,152.6,198.1,893.2,1.19
6000,7,152.6,198.1,178.9,208.3,1015.4,1.17
6000,8,178.9,208.3,208.0,218.4,1150.8,1.16
6000,9,208.0,218.4,231.9,226.1,1253.0,1.14
6500,1,1.5,45.7,15.6,96.5,110.6,1.41
6500,2,15.6,96.5,37.2,127.0,268.9,1.49
6500,3,37.2,127.0,62.9,149.9,446.8,1.42
6500,4,62.9,149.9,94.2,170.2,631.8,1.37
6500,5,94.2,170.2,123.7,185.4,794.7,1.33
6500,6,123.7,185.4,152.6,198.1,945.7,1.29
6500,7,152.6,198.1,178.9,208.3,1076.1,1.26
6500,8,178.9,208.3,208.0,218.4,1219.5,1.24
6500,9,208.0,218.4,231.9,226.1,1329.1,1.22
